csv,out_dir,T,duration_sec,dt_median_sec,hip_dz_total_m,hip_z_range_m,hip_y_range_m,ankle_y_min_m,ankle_y_mean_m,double_contact_rate,no_contact_rate,contact_L_rate,contact_R_rate,support_R_rate,switch_rate_from_support,switch_count_from_support,switch_rate_from_support_switch,switch_count_from_support_switch,bone_mean_L_HIP_L_KNEE,bone_cv_L_HIP_L_KNEE,bone_mean_L_KNEE_L_ANKLE,bone_cv_L_KNEE_L_ANKLE,bone_mean_R_HIP_R_KNEE,bone_cv_R_HIP_R_KNEE,bone_mean_R_KNEE_R_ANKLE,bone_cv_R_KNEE_R_ANKLE,bone_mean_L_HIP_R_HIP,bone_cv_L_HIP_R_HIP,has_time_sec,has_contact,has_stance,has_support,has_support_switch
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_test0_raw.csv,outputs_final\stage_check\data_riku_test0_raw,126.0,4.166667,0.03333300000000006,0.2696539506624455,0.31118813152570374,0.00035864292048404245,-0.0191383951707248,0.050669728479665235,,,,,,,,,,0.41295104205406286,3.429704410652268e-10,0.3891088107238673,0.022707757522507838,0.3982015490625292,2.9936869299147803e-10,0.3915062216067703,0.017437511991513447,0.2279913241156432,0.02131522988404253,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_test0_stage0.csv,outputs_final\stage_check\data_riku_test0_stage0,126.0,4.166667,0.03333300000000006,-4.0554325096309185e-05,0.0003979175817220848,0.0003613883163779974,-0.4253528118133545,-0.30904373715794276,,,,,,,,,,0.403917042416547,0.04497538915145448,0.38918157526010344,0.05303737279422253,0.3940212934012718,0.04083210232500753,0.3875939373147996,0.048962167172988166,0.22799132434347785,0.021315229884046733,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_test0_stage1.csv,outputs_final\stage_check\data_riku_test0_stage1,126.0,4.166667,0.03333300000000006,-3.4817613267040803e-05,0.00039219675297635925,0.00035864292048404245,-0.0191383951707248,0.050669728479665235,,,,,,,,,,0.4039170420691465,0.04497538914506831,0.38918157493015937,0.05303737279234339,0.39402129306449357,0.04083210232098484,0.38759393698826,0.048962167170918204,0.2279913241156432,0.021315229884042535,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_test0_stage2.csv,outputs_final\stage_check\data_riku_test0_stage2,126.0,4.166667,0.03333300000000006,-3.4817613267040803e-05,0.00039219675297635925,0.00035864292048404245,-0.0191383951707248,0.050669728479665235,,,,,,,,,,0.4129510420611021,3.186424619540937e-10,0.38789626702884067,0.0016351934549193444,0.39820154905438415,2.798213276220899e-10,0.39194550020832264,0.013536633318493904,0.2279913241156432,0.021315229884042535,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_test0_stage3.csv,outputs_final\stage_check\data_riku_test0_stage3,126.0,4.166667,0.03333300000000006,0.2696539506624455,0.31118813152570374,0.00035864292048404245,-0.0191383951707248,0.050669728479665235,,,,,,,,,,0.41685528144326794,0.05327569512726681,0.38789626702884067,0.0016351934549193444,0.4043826126816687,0.049201919104208854,0.39194550020832264,0.013536633318493904,0.2279913241156432,0.02131522988404253,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_test0_stage4.csv,outputs_final\stage_check\data_riku_test0_stage4,126.0,4.166667,0.03333300000000006,0.2696539506624455,0.31118813152570374,0.00035864292048404245,-0.0191383951707248,0.050669728479665235,,,,,,,,,,0.41295104205406286,3.429704410652268e-10,0.38808450686681273,0.004382898667065593,0.3982015490625292,2.9936869299147803e-10,0.3928239251860652,0.016441146776974842,0.2279913241156432,0.02131522988404253,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_test0_stage5.csv,outputs_final\stage_check\data_riku_test0_stage5,126.0,4.166667,0.03333300000000006,0.2696539506624455,0.31118813152570374,0.00035864292048404245,-0.0191383951707248,0.050669728479665235,,,,,,,,,,0.41295104205406286,3.429704410652268e-10,0.3874864468218799,0.005650716662002428,0.3982015490625292,2.9936869299147803e-10,0.39219461269338773,0.016411089961871926,0.2279913241156432,0.02131522988404253,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_test0_stage6.csv,outputs_final\stage_check\data_riku_test0_stage6,126.0,4.166667,0.03333300000000006,0.2696539506624455,0.31118813152570374,0.00035864292048404245,-0.0191383951707248,0.050669728479665235,,,,,,,,,,0.41295104205406286,3.429704410652268e-10,0.3891088107238673,0.022707757522507838,0.3982015490625292,2.9936869299147803e-10,0.3915062216067703,0.017437511991513447,0.2279913241156432,0.02131522988404253,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_test0_stage7.csv,outputs_final\stage_check\data_riku_test0_stage7,126.0,4.166667,0.03333300000000006,1.174158457810766,1.215692638674024,0.00035864292048404245,-0.0191383951707248,0.050669728479665235,,,,,,,,,,0.41295104205406286,3.4297043938955767e-10,0.3891088107238673,0.022707757522507838,0.39820154906252925,2.9936869641864324e-10,0.3915062216067703,0.01743751199151345,0.2279913241156432,0.02131522988404253,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_val0_processed.csv,outputs_final\stage_check\data_riku_val0_processed,120.0,3.9675979999999997,0.033341000000000065,1.226770545721853,1.2814959566785384,0.0002533316318653611,-0.0114961847714448,0.04229355811421,0.0,0.0,0.4666666666666667,0.5333333333333333,0.5083333333333333,0.16806722689075632,20.0,0.16666666666666666,20.0,0.4064192811807063,3.0512856683547457e-10,0.3781491071701491,0.021423285775541485,0.3932168575441094,2.2847891329140214e-10,0.38668206641688435,0.024866807613349463,0.22939786043432203,0.023571695463585157,True,True,True,True,True
